SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ASIANPAINT","2,774.90","2,807.30","2,732.40","2,810.00","2,775.00","-","-35","-1.25","819958","227.31","2,985.70","2,115.00","1.36","13.27"
"TATACONSUM","1,102.90","1,104.40","1,079.70","1,110.00","1,092.00","-","-18","-1.62","2064139","225.23","1,282.70","1,007.20","-2.21","1.81"
"WIPRO","189.00","189.40","186.30","188.66","186.30","-","-2.36","-1.25","11891104","223.28","273.10","169.00","5.8","-24.28"
"POWERGRID","294.10","294.10","281.70","287.00","283.40","-","-3.6","-1.25","7655093","218.07","324.95","250.00","-1.55","-1.58"
"JSWSTEEL","1,280.50","1,300.00","1,275.90","1,292.30","1,300.00","-","7.7","0.6","1474542","189.80","1,328.00","1,022.30","5.67","23.12"
"ADANIPORTS","1,703.10","1,713.90","1,690.00","1,701.00","1,706.70","-","5.7","0.34","1098307","186.99","1,891.10","1,290.50","-8.94","22.88"
"COALINDIA","415.00","417.60","413.00","416.00","417.60","-","1.6","0.38","4055314","168.61","491.25","368.65","-4.81","11.45"
"MAXHEALTH","1,105.10","1,105.10","1,066.10","1,100.40","1,077.00","-","-23.4","-2.13","1491892","161.68","1,301.70","903.00","-6.62","-13.87"
"ULTRACEMCO","11,920.00","12,050.00","11,905.00","12,054.00","12,050.00","-","-4","-0.03","126480","151.41","13,110.00","10,325.00","2.79","-1.69"
"CIPLA","1,469.60","1,469.60","1,449.30","1,474.40","1,460.00","-","-14.4","-0.98","947012","137.87","1,673.00","1,165.70","0.12","-3.64"
