SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"SOLARINDS","18,659.00","18,800.00","18,537.00","18,659.00","18,700.00","-","41","0.22","58238","109.05","19,187.00","11,646.00","1","30.17"
"IOC","143.47","143.82","141.60","143.70","141.60","-","-2.1","-1.46","7537957","107.54","188.96","130.22","0.03","-0.55"
"BANKBARODA","247.19","249.15","245.00","247.25","245.00","-","-2.25","-0.91","4142594","102.26","325.50","230.81","-2.85","1.59"
"JINDALSTEL","1,106.10","1,124.00","1,101.40","1,105.10","1,124.00","-","18.9","1.71","822018","91.78","1,306.20","943.30","6.64","14.67"
"PNB","113.49","114.00","112.64","113.00","113.99","-","0.99","0.88","7956496","90.39","135.15","98.50","8.2","8.91"
"TATAPOWER","382.00","384.20","380.00","382.00","380.00","-","-2","-0.52","2278755","87.06","464.90","342.50","1.28","-1.83"
"UNITDSPR","1,530.00","1,548.00","1,521.50","1,530.00","1,525.00","-","-5","-0.33","553256","84.84","1,548.00","1,210.80","9.45","13.83"
"AMBUJACEM","444.45","444.45","436.05","444.00","436.05","-","-7.95","-1.79","1852312","81.45","615.00","394.00","-1.66","-27.96"
"GODREJCP","1,080.00","1,080.10","1,057.60","1,085.90","1,058.20","-","-27.7","-2.55","644342","68.76","1,309.00","967.05","-1.74","-15.3"
"IRFC","90.39","90.49","89.55","90.25","89.60","-","-0.65","-0.72","6720556","60.42","137.17","86.02","-1.07","-30.94"
"BOSCHLTD","41,160.00","41,555.00","41,000.00","41,300.00","41,200.00","-","170","0.41","14473","59.75","42,985.00","28,610.00","-1.66","0.21"
"SHREECEM","27,000.00","27,040.00","26,600.00","27,000.00","26,900.00","-","-100","-0.37","17586","47.29","31,920.00","22,550.00","0.5","-12.22"
"TATACAP","364.40","366.00","358.30","364.75","361.60","-","-3.15","-0.86","856273","31.13","379.95","296.00","3.49","0"
"BAJAJHLDNG","11,530.00","11,598.00","11,364.00","11,599.00","11,475.00","-","-124","-1.07","26151","29.96","14,763.00","8,588.00","3.57","-17.44"
